Candidate Organization Link,Industry,Industry Group Description,Industry Group Wiki Page,duplicate
http://www.aaf.org,"Advertising, business, marketing","Ad 2 is a division of the American Advertising Federation (AAF), the nation's largest advertising advocacy group. Ad 2 provides young advertising, marketing and communication professionals the contacts, education and leadership opportunities they need to become tomorrow's industry leaders.
",https://en.wikipedia.org/wiki/Ad_2,False
http://www.ad2.org,"Advertising, business, marketing","Ad 2 is a division of the American Advertising Federation (AAF), the nation's largest advertising advocacy group. Ad 2 provides young advertising, marketing and communication professionals the contacts, education and leadership opportunities they need to become tomorrow's industry leaders.
",https://en.wikipedia.org/wiki/Ad_2,False
http://www.amcinstitute.org,"Advertising, business, marketing","The AMC Institute (AMCI) is the global membership organization of the association management company, or AMC, industry.[1][2] Headquartered in Alexandria, Virginia, U.S., AMCI counts as members more than 180 AMC member organizations employing 3,500 people and representing 2.8 million individual members throughout the U.S., Canada, Europe and Asia.[3]",https://en.wikipedia.org/wiki/AMC_Institute,False
http://www.aaaa.org,"Advertising, business, marketing",The American Association of Advertising Agencies (AAAA or 4A's) is an American advertising agency trade association.,https://en.wikipedia.org/wiki/American_Association_of_Advertising_Agencies,False
http://www.amiba.net,"Advertising, business, marketing","The American Independent Business Alliance (AMIBA) is a non-profit organization that represents the interests of local independent businesses, helps communities develop strong local economies through nurturing local entrepreneurs, and promotes citizen engagement in local economic development. AMIBA helps communities to: launch and successfully operate ""buy local"" campaigns; facilitate group purchasing and marketing among local businesses, and; other programs to support community enterprise.",https://en.wikipedia.org/wiki/American_Independent_Business_Alliance,False
https://www.ama.org,"Advertising, business, marketing","The American Marketing Association (AMA) is a professional association for marketing professionals with 30,000 members as of 2012. It has 76 professional chapters and 250 collegiate chapters across the United States.[1]",https://en.wikipedia.org/wiki/American_Marketing_Association,False
http://www.aiim.org,"Advertising, business, marketing","The Association for Information and Image Management or AIIM (pronounced aim) is a non-profit membership organization. AIIM provides education, market research, and certification for information professionals.
",https://en.wikipedia.org/wiki/Association_for_Information_and_Image_Management,False
http://www.acce.org,"Advertising, business, marketing","The Association of Chamber of Commerce Executives is an organization for leaders of local chambers of commerce in the United States. It was founded in 1914. ACCE's president is Mick Fleming, the author of Making Your Chamber Make a Difference and a former leader with the Business Council of New York State. The chairman of ACCE is Jay Chesshir, President & CEO of the Little Rock Regional Chamber of Commerce. The ACCE is headquartered in Alexandria, Virginia.[1]",https://en.wikipedia.org/wiki/Association_of_Chamber_of_Commerce_Executives,False
http://www.aef.com,"Advertising, business, marketing","The Association of National Advertisers (ANA) is a representative body for the marketing community in the United States.[2] Its headquarters is in New York City and it has another office in Washington, D.C..[3] ANA's membership includes over 600 companies[4] with 10,000 brands that collectively spend over 250 billion dollars in marketing communications and advertising.[5]
",https://en.wikipedia.org/wiki/Association_of_National_Advertisers,False
http://ana.net,"Advertising, business, marketing","The Association of National Advertisers (ANA) is a representative body for the marketing community in the United States.[2] Its headquarters is in New York City and it has another office in Washington, D.C..[3] ANA's membership includes over 600 companies[4] with 10,000 brands that collectively spend over 250 billion dollars in marketing communications and advertising.[5]
",https://en.wikipedia.org/wiki/Association_of_National_Advertisers,False
