Candidate Organization Link,Industry,Industry Group Description,Industry Group Wiki Page,duplicate,Candidate Organization Name,Candidate Front Page Info,Contact Information
http://www.aaf.org,"Advertising, business, marketing","Ad 2 is a division of the American Advertising Federation (AAF), the nation's largest advertising advocacy group. Ad 2 provides young advertising, marketing and communication professionals the contacts, education and leadership opportunities they need to become tomorrow's industry leaders.
",https://en.wikipedia.org/wiki/Ad_2,FALSE,American Advertising Federation Homepage | AAF,"Advertising Hall of Achievement Committee Club Leader Resources Education Services ADVERTISED e-Newsletter Become a Member Educator Resources Ethics Institute for Advertising Ethics Corporate Members June 8, 2018     American Advertising Awards   Chicago        #ADDYAwards Speakers Directory Barton A. Cummings Gold Medal Award AWARDS, PROGRAMS & EVENTSToggle Government Report Membership Benefits American Advertising Awards Committee Overview NEW! AAF University   Nationwide      #AAFUniversity WHO WE AREToggle National Education Executive Committee Faculty Toolkit AAF Blog Council of Governors Resources AAF+generationOn Partnership Program Student Advertising Career Conference ##LOC[Cancel]## Mosaic Next Generation Leadership Council Governance Advertising Hall of Achievement June 6-9, 2018   ADMERICA  AAF's National Conference   Chicago      #ADMERICA18 Board of Directors Chic Davis Memorial Award Join or Renew Site Map 2nd Look Newsletter Press Releases Advertising Day on the Hill Get Involved Student Programs Member Store Committees Webinars VIEW ALL NEW! Change the Narrative:  Panel Discussion Toolkit Nationwide        #ChangeTheNarrative Programs & Events Mosaic Alumni & Friends Association White Papers Privacy Policy Learn More Mosaic Awards Corporate Membership Pat Martin Excellence in District Leadership Award National Student Advertising Competition Create An Account Most Promising Multicultural Students Program Advertising Hall of Fame Advertising Hall of Fame Committee Cart Careers Mosaic Council ##LOC[OK]## AAF University Membership Visit the Job Bank Awards Careers in Advertising Club Member Newsletter Silver Medal Award June 6, 2018 Mosaic Awards & Gala Dinner   Chicago      #AAFMosaicAwards18 Mosaic Center Website Feedback ADMERICA Resources & Publications STUDENTS, PROS & CEOSToggle Betty Riehl Excellence in Service Award Twitter Thought Leadership Alpha Delta Sigma Honor Society Mosaic Center for Multiculturalism Student Awards AAF Vance & Betty Lee Stickell Internship Program Government Affairs Committee LinkedIn Distinguished Advertising Educator Award LOG IN Student & Educator Membership Student Resources Legislative Alert: Tax Reform - September 8, 2017 Diversity in Action Careers at the AAF Club Achievement Awards Change the Narrative Professional Programs June 7-8, 2018   National Student  Advertising Competition   Chicago      #NSAC18 Advocacy College Chapter Membership Award Our Team OUR EFFORTSToggle Press Room Corporate Membership Committee AdCamp Mosaic Career Fairs AAF Support Ethics Advisory Council Professional Awards American Advertising Awards Certificate Workshops Professional Membership",[support@aafengage.org]
http://www.ad2.org,"Advertising, business, marketing","Ad 2 is a division of the American Advertising Federation (AAF), the nation's largest advertising advocacy group. Ad 2 provides young advertising, marketing and communication professionals the contacts, education and leadership opportunities they need to become tomorrow's industry leaders.
",https://en.wikipedia.org/wiki/Ad_2,FALSE,Home - Ad 2,Scoring Who We Are Member Benefits About Guides and Docs Blog Suggested Outline Student Resources Mid-Year Retreat Rules Learn How AAF University Club Resources NSAC ADMERICA Students Search Lifetime Members American Advertising Federation. Club Achievement Executive Committee President’s Handbook Contact Deadlines Public Service History Disclosure Presidents’ Calls RSS Feed Widget Overview Locations Ad 2 & AAF Learn More American Advertising Awards Previous Winners,[]
http://www.amcinstitute.org,"Advertising, business, marketing","The AMC Institute (AMCI) is the global membership organization of the association management company, or AMC, industry.[1][2] Headquartered in Alexandria, Virginia, U.S., AMCI counts as members more than 180 AMC member organizations employing 3,500 people and representing 2.8 million individual members throughout the U.S., Canada, Europe and Asia.[3]",https://en.wikipedia.org/wiki/AMC_Institute,FALSE,AMC Institute,Find out more AMC Model Education and Events 703.570.895 2018 Accredited Executive Leadership Forum Menu Request Accreditation Information 2016 Annual Meeting Photos 2015 Annual Meeting Photos Find Out More Accreditation Download Center Events Resources Accreditation FAQ The ANSI Standard AMCI Staff The AMC Model Leadership Circle Membership Start an RFP Legal Accreditation Strategic Partners Membership Future Meeting Dates AMCI Canada Sponsorship About AMCI Accreditation Latest News Code of Ethics 2018 AMCs Engaged! Tweets by @AMCInstitute 2018 Annual Meeting Executive Committee Members AMC Membership Categories Online Store Register For Consultants Associate Membership (Suppliers) Member Directory / Find an AMC Upcoming Events Sign In Join AMCI Membership Eligibility Board of Directors History Benefits of Accreditation Accredited AMCs Directory About Us For Volunteer Leaders/Association Executives AMC Factsheet Advertising Kit Membership Benefits For AMC Owners and Principals YourMembership Learn More Bylaws Home Contact Us Apply for Membership Email Us AMCI Canada,"[nr@seenError, nr@context, nr@wrapped, nr@original, info@amcinstitute.org]"
http://www.aaaa.org,"Advertising, business, marketing",The American Association of Advertising Agencies (AAAA or 4A's) is an American advertising agency trade association.,https://en.wikipedia.org/wiki/American_Association_of_Advertising_Agencies,FALSE,Home Page - 4A's,"Buddy Jobs @ 4A's Human Resources View More Events Research The Application Process 4A's Accelerate 2018 Archives April 8-10, 2018 Learn More Springwise Statista Strategy Festival Retail View All Partner News Agency Compensation Transformation Archives Diversity & Agency Initiatives Crew Media Channels Become a Member CREW -- Global Ad Source Forms & Contracts Data Summit Archives News and Views Client Essentials View All Events Special Offer for 4A’s Members: WeWork Discount Jobs @ The 4A’s About 4’s Research Restaurants ReSolve MAIP Agency Relations & Membership Branding & Positioning Global Press Kit Other 4A’s Sites Contact Us Marketing & Communications Metrics & Effectiveness Surveys & White Papers Consumers Home & Garden BLAST -- Local Ad Spending 4A’s Benefits Research Insights Newsletter Digital Technologies Benefits of Membership Industry Advocacy & Government Relations Legal Issues Why Diversity of Talent is a Matter of Life and... Automotive B2B Our Industry Banking and Financial Services Agency Management Technologies Millennium Agency Welcomes Travis Morin, Content/Social Manager 4A's Press Releases Advocacy in DC Register Today Committees Sign In View Training Programs Inside The Campaign: Deutsch’s “Father’s Day Surprise” for Anheuser-Busch Application Process CreateTech Archives 4A’s Benefits Group Accelerate Archives Industry Surveys and White Papers Client Relations Privacy Policy Member Testimonials Membership Requirements 4A’s Foundation History of Advertising Travel Creative Recreation, Entertainment, & Sports Holidays Events Associate Membership Submit a Request Learning & Development Data Summit 4A's Member Fresh Press Membership Enroll Today Hot Media Topics 4A's Communities Agency Communications Summit Blast Food & CPG ProQuest Talent Going Global New Business Legal Forms & Contracts BUDDY -- Demographics Strategy & Trends Healthcare Women & Diversity Banking & Financial Services View More 4A's News Extreme Reach: Video Benchmarks Report for Q1 2018 Regions Regional Boards & Local Councils 4A's Research Forums High School Programs Brand Management Strategy Festival Archives Media 4A’s Mission 100th Production Sign Up Job Descriptions About the 4A's 4A's Board of Directors View Event Talent@2030 4A’s Accepts the Agency Award at This Year’s AEF Honors Night Future of the Agency 4A’s Cannes Report 2018 4A’s Appoints Partners + Napier President Courtney Cotrupe as Chair... 2017 Year in Review Research Databases View Article RGA Austin Elevates Three Senior Leaders Your Industry View Webinar 4A's Leadership News & Views Training Programs Diversity in Advertising The 4A’s Hosts Eighth Annual The Face of Talent Event Agency Search Get In Touch Accelerate Admin & Operations View More Agency News Organizing Your Agency for Social: Social Media Team Frameworks, Staffing & Future-Proofing Talent@2030 Archives","[Mothers@Agencies Info, nr@context, Mothers@Agencies Prog, Talent@2030 Arch]"
http://www.amiba.net,"Advertising, business, marketing","The American Independent Business Alliance (AMIBA) is a non-profit organization that represents the interests of local independent businesses, helps communities develop strong local economies through nurturing local entrepreneurs, and promotes citizen engagement in local economic development. AMIBA helps communities to: launch and successfully operate ""buy local"" campaigns; facilitate group purchasing and marketing among local businesses, and; other programs to support community enterprise.",https://en.wikipedia.org/wiki/American_Independent_Business_Alliance,FALSE,[],[],[]
https://www.ama.org,"Advertising, business, marketing","The American Marketing Association (AMA) is a professional association for marketing professionals with 30,000 members as of 2012. It has 76 professional chapters and 250 collegiate chapters across the United States.[1]",https://en.wikipedia.org/wiki/American_Marketing_Association,FALSE,American Marketing Association,"Terms & Conditions Jobs@AMA Sample Size Calculator Research Marketing Resource Directory Calendar of Events Resources AMA Job Board AMA Journal Reader Help Center Corporate Training Research Consensus Ranking Tool Academics > Read more Log In eLearning Are You Letting Your Customers Design Their Own Products Yet? Best Practices Join AMA Integrated Marketing Communications - 2018 - Chicago, IL Membership Types Virtual Events Journal of International Marketing How to Create a Social Media Response Matrix Volunteers Content Partners Upcoming Webcasts Membership Benefits Marketing Research Global More » Digital Editions AMA Member Directory Contact Us Partners E-newsletters ​ What Is Your BQ and How Can It Boost Sales? Renew my Membership Site Map Sponsors Post a Job Forgot Password or Login? Join Training (In Person) Dues Scholarly Insights Videos Certification White Papers Create an Online Account HomeCurrently selected Marketing News Events Faculty Copyright/Permission Home Academic Job Board Publications AMA Speakers Bureau (NEW) Journal of Public Policy and Marketing Privacy Media Kit Multimedia Academic Career Resources JOIN AMA Market Research Strategy Scorecard Join Today Students Find a Chapter Journal of Marketing Research International Alliances Membership Marketer Career Resources 5 Elements of a Good Influencer Agreement Marketing Toolkit 4 Copyright Questions Every Marketer Should Know How to Answer Benefits Career About AMA Research Proposal Template Past Events Conferences CMOs Say Social Media Spending Will Rise 89% By 2022 Participant Profile Form Student Career Resources Member-Only Webcasts Digital Strategy and Analytics Engagement Submit Strategy Blog Community Digital Marcom Affinity Benefits (Discounts) Marketing Services Search >> Read more Metrics Marketing Health Services Measuring Marketing ROI - Chicago Create Online Account Tweets by @AMA_Marketing Renew Case Studies Advertising AMA China Marketing Insights Branding How to Hack SEO in 2018 Events/Training Subscribe https://jobs.ama.org/ On-Demand Webcasts Marketing Dictionary Journal of Marketing Specialized Directories",[Jobs@AMA.aspx]
http://www.aiim.org,"Advertising, business, marketing","The Association for Information and Image Management or AIIM (pronounced aim) is a non-profit membership organization. AIIM provides education, market research, and certification for information professionals.
",https://en.wikipedia.org/wiki/Association_for_Information_and_Image_Management,FALSE,AIIM - The Global Community of Information Professionals,Deep Dives Information Management Blog Research Blog AIIM Blog Job Center 6 Strategies to Future-Proof Your Business Upcoming In Person Classes Why You Should Adopt a No Code Technology Stack into Your Portfolio Register Now! Become a Member Access Your eBook Events Resources Webinars Join AIIM Looking for a Speaker? Solutions Providers Blog Become a Sponsor Trade Membership Buyers' Guide Automation Discussion Forum Awards Menu× My Courses AIIM Conference Online Community Presentations and Podcasts About Toolkits Glossary Toolkit Standards Membership Packages Upcoming Events Our Staff Login FAQs Subscribe to AIIM's Blog Contact Us! Emerging Technology Training Leadership Council Membership Get the IIM eBook Protection and Privacy About Us Virtual Events Certification Sales Enablement Topics Insight Join Us! Community AIIM Training Privacy Policy Women In Information Management Learn More Chapters and SIGs Solution Providers Blog Education Professional Membership View All Quick Studies,[aiim@aiim.org?subj]
http://www.acce.org,"Advertising, business, marketing","The Association of Chamber of Commerce Executives is an organization for leaders of local chambers of commerce in the United States. It was founded in 1914. ACCE's president is Mick Fleming, the author of Making Your Chamber Make a Difference and a former leader with the Business Council of New York State. The chairman of ACCE is Jay Chesshir, President & CEO of the Little Rock Regional Chamber of Commerce. The ACCE is headquartered in Alexandria, Virginia.[1]",https://en.wikipedia.org/wiki/Association_of_Chamber_of_Commerce_Executives,FALSE,ACCE | ACCE,"See more upcoming events Annual Convention resources Chamber of Commerce Association of Alabama Summer Conference Fellowship CCE Commission Chambers of commerce Awards gallery Inclusion statement Latest issue Operations Pub 2017 Annual Convention Roster Events and programs Horizon Initiative CCE maintenance State Executive Associations CCE timeline Benchmarking SEAN Samples Volunteer Member emblem 2016 Annual Convention Programs Member Roster 457(b) Participant Resources Group Insurance Plans Dynamic Chamber Benchmarking Economic and community development SEAN Events Body of Knowledge Operations Economic & Community Development Insurance Plan Resources Job board Help Click here Governance and leadership Job seekers #ACCE18: 2018 ACCE Annual Convention in Des Moines, Iowa Samples Library Article search Membership Development Networks Board of directors Quick Start Guide Benefits Plan Overviews Western Association of Chamber Executives Academy About FAQs Chamber of the Year Privacy Statement All ACCEss Pass Membership Achievement Certified Chamber Executive Salary Pub Toolkits Publications Roundtable call: Diversity, Equity and Inclusion Division Membership for businesses GR Toolkit Resources Diversity, equity and inclusion Catalytic Leadership Fringe Benefits Frequently asked questions ACCE University Webinars Chamberpedia pages Life Member Honorees Deeper learning How to apply Delivered byAccrisoft 2015 Annual Convention Circle of Champions FAQ Human resources Tennessee Chamber of Commerce Executives (TCCE) Annual Membership Conference Advanced Search BLOG 401(k) Administrator Resources Metro Cities Council Archive Home Calendar 457(b) / Deferred Compensation Plan Professional Development Staff Recorded webinars Communications Excellence Circle of Champions Population Shift QuickPolls Non-dues revenue 2016 ACE Winners CGEF SEAN Roster Profile Update Samples About ACCE Major Cities Council Global Impacts Benefits Trust Events My Account Emerging Cities Council 401(k) Participant Resources Communications and Technology Education Attainment Employers Membership Bookstore Awards Capital Campaign Council University Communities Council Awards Gallery Advisory Board Divisions Fragmentation Think HR Chamberpedia 457(b) Administrator Resources Belonging and Gathering Membership for chambers of commerce History Past winners Membership statistics Join ACCE Tourism & CVB Education and workforce development Lifetime Sales Achievement Community Peer Groups Insurance Administrator Resources Benefits Plan Resources Communications and Marketing Data collection worksheet Issues Information Government relations and public policy Sales Contest Hometown Chambers Council Reports and papers Resource Alignment 401(k) / Profit Sharing Plan Working with DCB Membership for nonprofits and partnerships Blog Horizon Investors Course Catalog Find a mentor Annual Convention Communications and marketing FAQ Scarcity and Abundance CCE eligibility Destination Cities Council HERO webinars Upcoming webinars #ACCE18: Des Moines Member directory Strategic Plan Disaster preparedness Peer calls Ask ACCE Login International membership Intercity Visit Organizers Disclaimer Roundtable call: Government Relations Division ©2002-2018, ACCE Chamberpedia Pages Life Member Award Magazine Business directory Diversity, Equity and Inclusion Blog posts Transportation Supporters Becoming a CCE Past Board Chairs Government Affairs MyAccount",[]
http://www.aef.com,"Advertising, business, marketing","The Association of National Advertisers (ANA) is a representative body for the marketing community in the United States.[2] Its headquarters is in New York City and it has another office in Washington, D.C..[3] ANA's membership includes over 600 companies[4] with 10,000 brands that collectively spend over 250 billion dollars in marketing communications and advertising.[5]
",https://en.wikipedia.org/wiki/Association_of_National_Advertisers,FALSE,Home | ANA Educational Foundation,"Take the Pathways Pledge About Us > FastForum instagram Educational Materials Pathways 2020 Talent Research Research       Pathways 2020 Read Talent research study linkedin About Us Advertising & Society Quarterly Back to Home Learn more Building Talent Industry Conversations We are launching a fresh new series of Industry Conversations! In our first episode, Deutsch CEO Val DiFebo sits down with McCann NY President Devika Bulchandani to talk about how she got into the business and what she looks for in a new hire - her answer may surprise you! We have 8+ episodes with industry leaders from all sides of the industry that we will be sharing over the next month.  Learn More  Watch Video Classroom Resources Overview Campus Speaker Register Visiting Professor Program Case Histories About Us Overview Book Excerpts Event       ANA Conferences/Webinars Learn more BuildingTalent twitter ADText Partnership Programs > Race & Ethnicity Project AboutUs Board of Directors Academic Programs Overview Campus Speakers Program Industry Conversations Building Talent Overview Industry Events for Profs Alfred J. Seaman Award Search AEF Symposia ClassroomResources Classroom Resources Classroom Resources > Must Reads Industry Roles Press facebook Academic Programs Ad Award Archive Partnership Programs Event       Honors Night Join us Building Talent > MADE Internship Program AdAwardArchive Honors Night Links Social Responsibility Academic Programs > youtube Home > Privacy Policy Learn More MOOC – Advertising and Society AcademicPrograms Contact Us PartnershipPrograms Partnership Programs Overview Career Guide Our Mission","[aef_logo@2x.png, aef_logo_white@2x.png]"
http://ana.net,"Advertising, business, marketing","The Association of National Advertisers (ANA) is a representative body for the marketing community in the United States.[2] Its headquarters is in New York City and it has another office in Washington, D.C..[3] ANA's membership includes over 600 companies[4] with 10,000 brands that collectively spend over 250 billion dollars in marketing communications and advertising.[5]
",https://en.wikipedia.org/wiki/Association_of_National_Advertisers,FALSE,ANA - Association of National Advertisers | ANA,"Privacy and Cookie Policy Insights & Resources Agency Advocacy & Leadership Get started Brand For You Leadership 2018 ANA Data & Measurement Conference P... (09/12, Orlando) Training Home More Industry Initiatives ANA Newsstand Find Out Training Our Committees Organization Membership Benefits Events Home B-to-B Award Case Studies Contact Us How to Write an Inspired Creative Brief (08/22, Saint Louis) About Learn more Pay MSP Membership Dues Instructor Led Training Our Story Board of Directors Webinars Integrated Marketing around the Decisi... (07/19, New York,) Get it Write! How to Communicate Effect... (08/01, New York) Our Industry Media Channels ANA Logos Careers Legal Activities & Events Member Benefits Overview Committees Digital & Social, Southeast Chapter (08/15, Atlanta) #SeeHer Driving Growth Join a Committee AEF ANA B-to-B Chapters Data Analytics Center ANA Brand Activation @ Mastercard (Memb... (08/07, Purchase) Is B2B Social Worth the Investment? Ask the Expert Privacy Policy Members-Only Conferences Blog: Regulatory Rumblings Terms of Use It's Official! DMA Joins ANA Transparency in Marketing, Two Years Later Finance & Procurement Full Events Calendar Committees Home Audio Partner ANA Brand Activation @ Twitter (Me... (09/06, San Francisco) See All Upcoming Committees Events ANA Masters of Marketing Half-Day Training Benefit Sponsorship Opportunities Breaking Through the Noise with In... (07/17, San Francisco) AIMM Membership ANA Playbooks Legal Affairs (07/18, New York) ANA Content Marketing @ Target prese... (08/15, Minneapolis) Membership Home Speaker Opportunities Register now Client-Side Marketer List Extended Onsite Training On-Demand Training ANA Blogs 2018 ANA Digital & Social Me... (07/25, Rancho Palos Verdes) Consumer member list Our Instructors Promotion & Marketing Law Book National Industry Conferences Your Brand OK, Got it Client-Side Marketer Membership Search Content Library Fast Forward Your Content Marketing (07/19, Minneapolis) ANA Awards Programs ANA Masters Circle Thought Leadership Masters of Marketing Industry Initiatives ANA Research Lessons from World Cup Advertisers See All Upcoming Workshops view more videos MSP Member List Strategic Partners create a new account Relationship Marketing (08/02, New York) Brand Activation Legal Committee: July 2018 (07/19, WEBINAR) MSP Membership Data and Analytics Partner Press Room Create an Account Data & Measurement Government Relations Content Marketing (08/14, New York) We're All In Local Events Contact Membership Seeking the Optimal Digital Channel",[]
