Candidate Organization Link,Industry,Industry Group Description,Candidate Organization Name,Contact Information
http://www.aaf.org,"Advertising, business, marketing","Ad 2 is a division of the American Advertising Federation (AAF), the nation's largest advertising advocacy group. Ad 2 provides young advertising, marketing and communication professionals the contacts, education and leadership opportunities they need to become tomorrow's industry leaders.
",American Advertising Federation Homepage | AAF,[support@aafengage.org]
http://www.aaaa.org,"Advertising, business, marketing",The American Association of Advertising Agencies (AAAA or 4A's) is an American advertising agency trade association.,Home Page - 4A's,"[Mothers@Agencies Info, nr@context, Mothers@Agencies Prog, Talent@2030 Arch]"
https://www.ama.org,"Advertising, business, marketing","The American Marketing Association (AMA) is a professional association for marketing professionals with 30,000 members as of 2012. It has 76 professional chapters and 250 collegiate chapters across the United States.[1]",American Marketing Association,[Jobs@AMA.aspx]
http://www.aiim.org,"Advertising, business, marketing","The Association for Information and Image Management or AIIM (pronounced aim) is a non-profit membership organization. AIIM provides education, market research, and certification for information professionals.
",AIIM - The Global Community of Information Professionals,[aiim@aiim.org?subj]
http://www.acce.org,"Advertising, business, marketing","The Association of Chamber of Commerce Executives is an organization for leaders of local chambers of commerce in the United States. It was founded in 1914. ACCE's president is Mick Fleming, the author of Making Your Chamber Make a Difference and a former leader with the Business Council of New York State. The chairman of ACCE is Jay Chesshir, President & CEO of the Little Rock Regional Chamber of Commerce. The ACCE is headquartered in Alexandria, Virginia.[1]",ACCE | ACCE,[]
http://www.aef.com,"Advertising, business, marketing","The Association of National Advertisers (ANA) is a representative body for the marketing community in the United States.[2] Its headquarters is in New York City and it has another office in Washington, D.C..[3] ANA's membership includes over 600 companies[4] with 10,000 brands that collectively spend over 250 billion dollars in marketing communications and advertising.[5]
",Home | ANA Educational Foundation,"[aef_logo@2x.png, aef_logo_white@2x.png]"
http://ana.net,"Advertising, business, marketing","The Association of National Advertisers (ANA) is a representative body for the marketing community in the United States.[2] Its headquarters is in New York City and it has another office in Washington, D.C..[3] ANA's membership includes over 600 companies[4] with 10,000 brands that collectively spend over 250 billion dollars in marketing communications and advertising.[5]
",ANA - Association of National Advertisers | ANA,[]
http://www.thecaq.org,"Advertising, business, marketing","The Center for Audit Quality (CAQ) is an autonomous, nonpartisan, nonprofit public policy advocacy organization based in Washington, DC. It is affiliated with the American Institute of CPAs.
",The Center for Audit Quality | Affiliated with the American Institute of CPAs,[nr@context]
http://www.casro.org,"Advertising, business, marketing","In January, 2017, CASRO merged with the Marketing Research Association (MRA) to form the Insights Association.
",Insights Association,"[nr@context, username@example.com, nicole.symelidis@insightsassociation.org]"
http://www.printing.org,"Advertising, business, marketing","Graphic Arts Technical Foundation is a nonprofit, scientific, technical, and educational organization which promotes the technological advancement of the printing industry worldwide. 
",Printing Industries of America | The World’s Largest Graphic Arts Trade Association,[]
http://www.ism.ws,"Advertising, business, marketing","Institute for Supply Management (ISM) is the oldest, and the largest, supply management association in the world.[1] Founded in 1915, the U.S.-based not-for-profit educational association serves professionals and organizations with a keen interest in supply management, providing them education, training, qualifications, publications, information, and research.
",ISM - Institute for Supply Management,[membersvcs@instituteforsupplymanagement.org]
http://www.marketingresearch.org,"Advertising, business, marketing","The Marketing Research Association (MRA) was a 501(c)(6) non-profit, membership trade association, incorporated in New York state. Members were companies that specialized in, or had departments that specialized in, market research, consumer opinion and related marketing intelligence. Individuals who were marketing research practitioners could also become members. 
",Insights Association,"[nr@context, username@example.com, nicole.symelidis@insightsassociation.org]"
http://www.pma.com,"Advertising, business, marketing",About Produce Marketing Association                               ,Home | Produce Marketing Association,[nr@context]
http://www.prsa.org,"Advertising, business, marketing","The Public Relations Society of America (PRSA) is a nonprofit trade association for public relations professionals headquartered in New York City. It was founded in 1947 by combining the American Council on Public Relations and the National Association of Public Relations Councils. That year it had its first annual conference and award ceremony. In the 1950s and 1960s, the society created its code of conduct, accreditation program and a student society called the Public Relations Student Society of America. In the 1970s and 1980s, its membership attained a stronger female demographic and the society had its first female Presidents. PRSA created a definition of public relations in 1982, which was updated with a crowd-sourced version in 2011.
",Home - Public Relations Society of America,[]
http://www.uschamber.com,"Advertising, business, marketing","The United States Chamber of Commerce (USCC) is a business-oriented American lobbying group.  It is not an agency of the United States government.
",U.S. Chamber of Commerce,[]
http://www.the-aaa.org,Agriculture,"The American Ambulance Association (AAA) is a trade association for the EMS industry. The AAA is based in McLean, Virginia and was founded in 1979.[1]",American Ambulance Association Home | American Ambulance Association,"[info@ambulance.org, info@ambulance.org?body]"
https://www.gmaonline.org,Agriculture,"The Grocery Manufacturers Association (GMA) is a trade association of the food industry.[1] It represents the world's largest branded food, beverage and consumer product companies.
",Grocery Manufacturers Association | GMA,[info@gmaonline.org]
https://www.osha.gov,Energy,"The Air Conditioning Contractors of America (ACCA) is the largest HVAC contractor organization in the USA.  Its headquarters is at 2800 Shirlington Road, Suite 300, Arlington, VA 22206.
",Home | Occupational Safety and Health Administration,[]
http://www.acca.org,Energy,"The Air Conditioning Contractors of America (ACCA) is the largest HVAC contractor organization in the USA.  Its headquarters is at 2800 Shirlington Road, Suite 300, Arlington, VA 22206.
",Home - ACCA,[basilio.caceres@gmail.com]
http://ahrinet.org,Energy,"The Air Conditioning, Heating, and Refrigeration Institute (AHRI), formed in 2008 by a merger of the Air-Conditioning and Refrigeration Institute (ARI) and the Gas Appliance Manufacturers Association (GAMA), is a North American trade association of manufacturers of air conditioning, heating, and commercial refrigeration equipment. The organization performs political advocacy on behalf of its member industries, maintains technical standards, certifies products, shares data, conducts research, and awards scholarships.[1][2][3]",AHRI,[]
http://www.aga.org,Energy,"The American Gas Association (AGA), founded in 1918, is an American trade organization representing over 200[1] natural gas supply companies and others with an interest in the manufacturing of gas appliances as well as the production of gas. About 92% of the 70 million natural gas customers in the US receive their gas from AGA members.
",American Gas Association | Clean Natural Gas | American Gas Association,[]
http://api.org,Energy,"The American Petroleum Institute (API) is the largest U.S. trade association for the oil and natural gas industry. It claims to represent about 650 corporations involved in production, refinement, distribution, and many other aspects of the petroleum industry.
",API,[]
http://www.publicpower.org,Energy,"The American Public Power Association (APPA) is the service organization for the more than 2,000 U.S. community-owned electric utilities that serve more than 47 million Americans.
",Home | American Public Power Association,[]
http://www.awea.org,Energy,"The American Wind Energy Association (AWEA) is a Washington, D.C.-based national trade association formed in 1974, representing wind power project developers, equipment suppliers, service providers, parts manufacturers, utilities, researchers, and others involved in the wind industry.[1]",AWEA - American Wind Energy Association,[]
http://www.troopstoenergyjobs.com,Energy,"701 Pennsylvania Avenue, N.W.
",Troops To Energy Jobs,[virtualcoach@troopstoenergyjobs.com]
http://www.eei.org,Energy,"701 Pennsylvania Avenue, N.W.
",EEI - Home,[]
http://www.sheetmetal-iti.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",ITI | Home,[]
http://www.smacna.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",Sheet Metal and Air Conditioning Contractors' National Association - SMACNA,[]
http://www.smart-union.org,Energy,"The Sheet Metal and Air Conditioning Contractors' National Association (SMACNA; pronounced 'Smack'-'Nah') is an international trade association with more than 4,500 contributing contractor members [1] in 103 chapters [2] throughout the United States, Canada, Australia and Brazil. Its headquarters is in Chantilly, Virginia.",,"[logo-sml@2x.png, nr@context]"
http://americanpyro.com,Entertainment and leisure,The American Pyrotechnics Association is an advocacy group that aims to get consumer fireworks legalized across the United States and educate citizens on the safe use of fireworks.,Home,"[nr@seenError, nr@context, nr@wrapped, nr@original]"
http://www.asta.org,Entertainment and leisure,"The American Society of Travel Agents (ASTA) is a trade association which was formed to represent and defend the business and regulatory public policy interests of travel intermediaries, including travel agencies (including traditional ""brick and mortar"" agencies, online portals, mega- and corporate agencies, and small and mid-market businesses) and tour providers (including wholesalers and operators). The headquarters is in Alexandria, Virginia, United States; it is a US Internal Revenue Service 501(c)(6) tax-exempt not-for-profit entity.[1]",Home - ASTA,[]
