Candidate Organization Link,Organization Name,apprentice,certification,certificate,workforce,talent,credential,skill,competency,training,Number of keyword matches
http://www.crsi.org/,Concrete Reinforcing Steel Institute,0,1,0,1,0,0,1,0,1,4
http://www.aiccbox.org/,"AICC, The Independent Packaging Association",0,1,1,1,0,0,0,0,1,4
http://www.ahrinet.org/,"Air-Conditioning, Heating and Refrigeration Institute",0,1,0,1,0,0,0,1,1,4
http://www.sme.org/,Society of Manufacturing Engineers,0,1,0,1,0,0,1,0,1,4
http://www.issa.com/,ISSA – The Worldwide Cleaning Industry Association,0,1,1,0,0,0,0,0,1,3
http://www.astm.org/,ASTM International,0,1,0,0,0,0,1,0,1,3
http://www.pmmi.org/,Packaging Machinery Manufacturers Institute,0,0,0,1,0,0,1,0,1,3
http://www.asa.net/,American Supply Association,0,0,0,1,0,0,1,0,1,3
http://www.ansi.org/,American National Standards Institute,0,1,0,0,0,1,0,0,1,3
https://www.sbcindustry.com/,Structural Building Components Association (SBCA),0,1,0,1,0,0,0,0,1,3
http://www.ipc.org/,"IPC, The Association Connecting Electronics Industries",0,1,0,0,0,0,1,0,1,3
http://www.signs.org/,International Sign Association,0,1,0,0,0,0,1,0,1,3
http://www.steeltank.com/,Steel Tank Institute Steel Plate Fabricators Association,0,1,1,0,0,0,0,0,1,3
http://www.pmpa.org/,Precision Machined Products Association,0,0,0,0,0,0,1,0,1,2
http://www.awfs.org/,Association of Woodworking & Furnishings Suppliers,0,0,0,0,0,0,1,0,1,2
http://www.pumps.org/,Hydraulic Institute,0,1,0,0,0,0,0,0,1,2
http://www.aednet.org/,Associated Equipment Distributors,0,0,0,0,0,0,1,0,1,2
http://www.ascouncil.org/,The Adhesive and Sealant Council,0,0,1,0,0,0,0,0,1,2
http://www.rvia.org/,Recreation Vehicle Industry Association,0,1,0,0,0,0,0,0,1,2
http://www.gama.aero/,General Aviation Manufacturers Association,0,1,0,1,0,0,0,0,0,2
http://www.nib.org/,National Industries for the Blind,0,0,1,0,0,0,0,0,1,2
http://www.sgia.org/,Specialty Graphic Imaging Association,0,1,0,0,0,0,1,0,0,2
http://www.pbmdf.com/,Composite Panel Association,0,1,0,1,0,0,0,0,0,2
http://www.powdercoating.org/,Powder Coating Institute,0,1,0,0,0,0,0,0,1,2
http://www.iapd.org/,International Association of Plastics Distribution,0,0,1,0,0,0,0,0,1,2
http://www.api.org/,American Petroleum Institute,0,1,0,0,0,0,0,0,1,2
http://www.ncms.org/,National Center for Manufacturing Sciences,0,0,0,1,0,0,0,0,1,2
http://www.printing.org/,Printing Industries of America,0,1,0,0,0,0,0,0,1,2
http://americanbakers.org/,American Bakers Association,0,0,0,1,0,0,0,0,1,2
http://www.advamed.org/,Advanced Medical Technology Association,0,1,0,0,0,0,0,0,1,2
