Candidate Organization Link,Candidate Front Page Info,Organization Name
http://www.3-a.org/,"Certified Conformance Evaluator Program Certified Conformance Evaluators Search for Symbol Holders Replacement Parts/Systems Qualification Standards and Accepted Practices Store Search Database of Current Certificates E-learning Modules ##LOC[Cancel]## Project Status Report CCE Bulletins Application for a New 3-A Symbol CCE Portal Terms Of Use TPV Coordinating Committee Process Certificate 3-A Sanitary Standards, Inc. Events Buyer Beware: False or Misleading Claim General Requirements TPV Manual 3-A Symbol Overview Third Party Verification Manage 3-A Symbol Authorizations (Apply / Renew / Amend) Annual Meetings' Presentations Cart 3-A Sanitary Design Connections ##LOC[OK]## Leadership International Harmonization Sign Up for a Working Group Quick Guides Login To My Account 703.790.0295 Resource Links 3-AINFO@3-A.org Benefits Video Resources Annual Reports Replacement Parts and System Component Qualification Certificate Program Find a CCE Report Nonconformance Working Groups About the 3-A Symbol Sign In Third Party Verification Programs and Resources Working Groups Calendar Introduction to the 3-A SSI Online System History 3-A Process Certificate Program Resource Papers About the Knowledge Center Benefits of 3-A Standards and Accepted Practices News Manage Authorizations Interpretations and Public Review Drafts Marketing Advantages Site Map Get a Sponsored Link Mission Privacy Statement Buyer Beware: Is It Really '3-A?' See Working Groups Honors and Awards Contact Us 3-A Steering Committee Proper Use/Display of the 3-A Symbol Staff",3-A Sanitary Standards
http://www.advamed.org/,"Life Changing Innovation MedTech Coverage, Coding, & Reimbursement 101 Workshop Research MedTech Coverage, Coding, & Reimbursement 201 Workshop Myoscience Receives 510k Clearance for its Nerve Stim Enabled Smart Tip Physician Payments Sunshine Law Take Action MedTech Career Center Medicare Reimbursement Policy YouTube Susan Van Meter Jobs at AdvaMed Leadership https://t.co/WFzBf5iX6F Value Initiative China Code Coverage & Coding Members Logo Support Program Membership Application MedTech Congratulates Adam Boehler on Being Named HHS Senior Advisor for Value-Based Transformation and Innovation Medical Device Tax Supplier Quality & Purchasing Controls NAM Manufacturers’ Compliance Institute Tax Contact Us AdvaMedDx Global Strategy and Analysis Department Directory JC Scott Members Only Jennifer Brearey Scott Whitaker Legal & Compliance 21st Century Cures Andrew C. Fish Design Controls Medium Annual Report Our Industry Press Releases Facebook Innovation Agenda Regulatory Affairs Don May Join AdvaMed Dx CeloNova Announces Positive Clinical Results of eCOBRA Study at EuroPCR 2018 AdvaMed Digital Contact Log in Blog Posts TheMedTech Conference @CWhiteAdvaMed Ralph F. Ives Purchasing Group AdvaMed Accel Privacy Policy https://t.co/FLQSzhSTQ7 Helius Medical Technologies, Inc. Announces Uplisting to Nasdaq and Pricing of Public Offering of Class A Common Stock and Warrants Terms of Use State MedTech Alliance Trade Promotion Authority Newsroom Global & Trade Press Contacts AdvaMed India Global Affairs: Japan PODs Events It’s Time to Reform the Process for Determining What Medicare Covers #valuebasedcare FDA Training Modules Code Certifying Companies Payment & Delivery Systems Reform Mobilize for MedTech The MedTech Conference Ashley Wallin Wittorf Tax Reform Value-Based Health Care Benefits Resource Center Associate Member Directory @HHSGov AdvaMed Statement on House Ways & Means Subcommittee Hearing on Modernizing the Stark Law Tackling Heart Disease With Advanced Technology Compliance Positions Twitter Physician Service Market Analysis Report Risk Management AdvaMed Women's Executive Network (WEN) Issues About AdvaMed 510(K) Submissions Workshop - Fall 2018 HCIR Access Requirements Janet Trunzo Value of MedTech Membership Directory LinkedIn Payment & Health Policy India Compliance Certification Program Foreign Corrupt Practices Act 510(K) LifeChanging Innovation Read More Global Affairs: China Login MedTech Innovator Finals Return to The MedTech Conference Global Affairs: India About Issues Overview Medical Device Quality Advocacy Payment Review & Alerts Code of Ethics Unique Device Identifier (UDI) Christopher L. White Medical Device User Fee_Agreement (MDUFA) Industry News @DepSecHargan Communicating Benefit-Risk is Fundamental to Device Approval and Market Adoption Distributor Guidance",Advanced Medical Technology Association
http://aia-aerospace.org/,,Aerospace Industries Association
http://www.aiccbox.org/,"Scoring Boxes AICC Southeast Summit Boxmaker Category CEO Group The Packaging School Media Kit Certificate of Packaging Science Education Investor Legal Sales Competitions If you need immediate assistance, please call 703.836.2422. AICC Experts Troll Scholarship National Meetings Become an Education Investor AICC Canada Benefits Create or Find Your Profile Store President Trump To Sign Executive Order At Workforce Development Event Thursday, Pledging To Invest Colleague Orgs BoxScore Design Finance IT/ Training Category Seminars & Webinars HR Development Tracks Pressroom International Meetings See All Articles iCalendar Rigid Box Beginner Operator Training Seminar Emerging Leaders Join AICC AICC Mexico more FTA First Certification Industry Reports Join Help Inspire the Next Generation of Manufacturers by Hosting an MFG Day Event! Customer Service Industry Summits IT Chicago Area Annual Golf Tournament: Hosted by Region 6 Join Now Communities FirstPak US Board of DIrectors Policies Sign In Year-Over-Year Percentage Changes in Producer Prices Hall of Fame Free Onlines Courses for Members Help Desk AICC Northeast Summit ICPF Non-machinery Category Articles & Press ICCA Stats About AICC Production Track Leadership Operation Safe Shop Onlines Courses for Nonmembers Machinery Category Members in the News Thomas Rybicki, American Containers, Earns Certificate of Packaging Science In House Training Innovator of the Year Production iDirectory Student Design Competition Learn More Money Saving Programs Safety Contact Us YourMembership Package Design Competition","AICC, The Independent Packaging Association"
http://www.amca.org/,"Certification Check Lists Order Seals & Labels Newsletter Signup Privacy Downloadable Resources Shop for publications, standards, technical manuals, educational materials and more. High-Performance Air Systems Our members Articles & Research Papers LinkedIn Forms Calculators Labeling & Listing Programs Member Sign In Events Resources Secondary Labeled Products Find Members Headquarters & Visitor Information Site Map AMCA Certified Ratings Program Asia AMCA Listed Products Become a Member Fire & Life Safety Press Contacts Facebook Publications & Standards Members CRP Forms News Board of Directors 100 Years of History 2017 marks the 100th year as an association. Click here to learn more about AMCA's history. AMCA inmotion Magazine MyAMCA News & Events Public Comments CRP Violations About CRP Headquarters Advocacy Meetings & Events Energy Efficiency Testing & Certifications Middle East AMCA Our staff Certified & Listed Products Certified Product Search Our mission Code of Ethics Twitter Testing White Papers Mission About Our leadership FEG Finder Terms of Use Contact Us Brochures Staff",Air Movement and Control Association
http://www.ahrinet.org/,"Equipment Donation Form Datacom Cooling Unitary Small Equipment Search AHRI Certification Directory Vent-Free Gas Safety Heating Regulatory and Refrigerant Policy Resources Research U.S. Commercial Service Offices Campaign Materials General-Rulemaking-Information Commercial-Industrial Forced-Air Heating Hotels Near AHRI Headquarters Reclaimed Refrigerant Indirect Water Heaters Member Login Resources Active Chilled Beams Flexible Metallic Gas Piping System WTO Notices Non-Condensable Gas Purge Equipment for Use with Low Pressure Centrifugal Liquid Chillers Commercial Storage Water Heaters Historical Data Refrigerant Resources AHRI On the Issues Commercial Finned Tube Radiation Vent-Free Gas Heating Appliances Certified Products Radiant Heating United States Environmental Protection Agency Who Can Be Certified Canadian Standards HVACR Industry Standards Save Energy Single Packaged Vertical Units NTK-International Geothermal – Water-Source Heat Pumps Training How to Join a Certification Program Heat Pump Water Heaters Tweets by @AHRI_connect Annual Reports Residential Boilers Tariff Tracker Product Sections Unit Coolers Proposed Standards and Guidelines Gas Furnace Safety AHRI 2018 Spring Meeting Standards Refrigerant Recovery/Recycling Equipment AHRI Certification Programs Meetings and Events Commercial Furnaces DX-Dedicated Outdoor Air System Units Become an Accredited Program Regulatory Support Withdrawn Standards and Guidelines Automatic Commercial Ice Makers & Ice Storage Bins Hydronics Institute Section Storage Water Heaters Air Conditioning and Heat Transfer Products About Us Indirect-Fired Water Heaters Rees Scholarship AHRI-Low-GWP AREP Conference Air Control and Distribution Devices Residential Storage Water Heaters Historical Data Public Sector Research AHRI General Operations Manual Water Heating Products Certification Marketing Toolkit Resources AHRI Seismic Standard Overview NTK-Workforce Development Contact Us International Standards Development and Project Status NTK-Technical Services Dehumidifiers Statistics Department of Energy (DOE) Seasonal Energy Efficiency Ratio AHRI Mobile App Variable Refrigerant Flow (VRF) Multi-Split Air Conditioning and Heat Pump Equipment State Legislative Activity Brand Overview FAQs Join AHRI Commercial Refrigeration NTK-Certification State Priorities HVACR Industry Guidelines Smart or Connected Equipment State Legislative Resources Search Standards AHRI Members Air Conditioners and Heat Pumps Water Heaters Datacom Cooling Section Transport Refrigeration Packaged Terminal Heat Pumps News and Shipping Releases Floods and HVACR Equipment Certification Marketing Toolkit Industrial Refrigeration & Heat Transfer Products Technical Results Ice Storage Bins Comprehensive Regulations Furnaces Testing Companies Air-to-Air Energy Recovery Ventilation Equipment Direct Heating Careers Members Gas Detection and Analysis Standards Process Get Involved News & Events Learn About EPA Technician Certification Indoor Pool Dehumidifiers AHRI Logo Download and Usage Guide AHRI Presence in the States Systems Steering Committee (SSC) NTK-Legal NTK-Research Homeowners Residential Water Heaters Statistical Program Policies IRIS Custom Search Tech Update Terms and Technical Definitions Applied Packaged Systems NTK-Regulatory Global Resources ENERGY STAR Obtain Donated Equipment Commercial Water Heaters Central Station Air-Handling Unit Casings International Agreements for Refrigerants Unitary Heat Pump Equipment Central Air Conditioners and Air-Source Heat Pumps AHRI Update Air-to-Air Energy Recovery Ventilators Infrared Heaters Section Certification Burners Federal Energy Efficiency Tax Credits Indoor Comfort Systems Privacy Policy Water-Cooled Water-Chilling and Heat Pump Water-Heating Packages Using the Vapor Compression Cycle Standards Development Organizations Obtain the Mark Air-Cooled Water-Chilling Packages Home Reports by Category NTK-Public Affairs Related Research Standards Development Guide Variable Air Volume Terminals Contractors & Specifiers Public Affairs Contacts Historical Data Water Heaters Section Variable Frequency Drives Section Order Textbooks Rated Versus Certified Federal Trade Commission AHRI Low-GWP Alternative Refrigerants Evaluation Program Blower, Fan, and Motor Technical Definitions and Terms NextGen Directory New Market Explorer Initiative AHRI Bylaws How To License AHRI Data Global ASHRAE Chapters Venting Products Global Partnerships California Past Programs Geothermal and Water-Source Heat Pumps Members Only News Regulatory HVACR Education and Training Condensing Boiler Liquid to Liquid Brazed & Fusion Bonded Plate Exchangers Unitary Air-Conditioner Equipment Forced Circulation Air-Cooling & Air-Heating Coils Liquid Chillers Section Ongoing Projects Certifications Automatic Commercial Ice-Makers AHRI's Industry Awareness Campaign Tankless Water Heaters Brand Usage Guide Commercial Refrigerated Display Merchandise Technical Committee Vent-Free Gas Products Alliance Section Visit AHRI Humidifiers Section Direct Heating Section Certification Participant Profile Zone Control System Technology Infrared Heater Safety Gas Controls AHRI Leadership Forum Packaged Terminal Air-Conditioners Improve Safety Monthly Shipments Residential Furnaces NTK-Government Relations Thermal Storage Equipment AHRI Industry Statistical Profile How Things Work Residential Products Unitary Large Equipment Flow and Contaminant Control Products Compressors Search AHRI Learn About Certification Heat Pump Pool Heaters Commercial Products Policy Reports by Date NTK-Standards International HVACR Replacement Guidance Federal Priorities IRIS Chemicals & Refrigerant Reclaimers More > Promoting Certification Order/Take Industry Competency Exams 2018 Spring Meeting: Need to Know HVACR Career Opportunity Resource Center Refrigerant Testing Laboratory Heat Pump Pool and Spa Heaters Furnaces Historical Data Variable Frequency Drives Liquid to Liquid Heat Exchangers Furnace Section AHRI in the News More AHRI (ARI) Standards Referenced in US Meetings and Events Calendar AHRI Staff Room Fan-Coils HVACR Equipment/Components Geothermal – Direct Geoexchange Heat Pumps Air Filtration and Ultraviolet Light Treatment Central Station Air-Handling Unit Supply Fans Responsible Use of Refrigerants AHRI Member Profiles Advocacy Projects Open for Bid Communications Political News Links Recruit Students AHRI-Phase-II-Low-GWP-AREP Commercial Boilers Members Only Project Reports Air Conditioning and Refrigeration Electronic Controls Site Map Chilled Beams Section Ductless Equipment Section Central Heating and Cooling Systems Federal Legislative Activity Unit Ventilators AHRI Engage Congressional Calendar","Air-Conditioning, Heating and Refrigeration Institute"
http://www.autoalliance.org/,"News Addressing Climate Change cars move News: North American Industrywide Joint Statement on NAFTA Modernization Discussions RT @NHTSAgov: Just this year, 26 children have died from being left or getting trapped in a hot car. For prevention tips, visit https://t.c… Learn more Safety Innovation Economy In Your State All the places autos are built. Connectivity Connected Cars More than 50 electric vehicles on sale now. News .@davidshepardson @reuters https://t.co/Af1Qa4JpXY  ""Higher auto tariffs will harm American families and workers, a… https://t.co/ynSuGjthPY awareness About the Alliance Resource Center Economy Cars Move America Safety Safety Advances that Save Lives Contact See how autos are transforming our ports Energy & Environment manufacturing Auto Alliance - Driving Innovation Protecting connected consumer data Where’s baby? Look before you lock. Never leave a child alone in a car. Every year children die of heatstroke. News: Automakers Respond to Commerce Department Section 232 Investigation of Automobiles and Automotive Parts How many auto jobs are in your state? Privacy Policy Automakers and More than 100 Organizations Urge the U.S. Senate to Pass Bipartisan AV START Act News: Auto Alliance Testimony on the Department of Commerce Hearing on the Section 232 National Security Investigation of Imports of Automobiles and Automotive Parts autonomous 10 YEARS AGO ""IT'S CHATTANOOGA"" ANNOUNCED BY @VWnews   Over the past 10 years, VW's investment has grown to more th… https://t.co/jHSEWsOLcb Connected Cars",Alliance of Automobile Manufacturers
http://www.aec.org/,"Past Winners Residential ET'16 Newsroom AEC Tech Webinars Member Engagement Resources 7th Global Lightweight Materials Detroit Summit ET Seminar Infrastructure Consumer Find a Supplier Member Sustainability Benchmarking In-Use Benefits Home Page Features Online Store Aluminum Extrusion Manual Features & Benefits About Us Management Conference Alloys & Tempers Privacy Statement Lawmakers urge Attorney General Jeff Sessions to address ""serious price irregularities"" in the alumi For Educators Extrusion Showcase Tolerances Safety Seminar Legal Industry Performance mail@aec.org Webinar: Artificial Aging - Equipment and Practice Auto What Is It? Buyers' Guide Events Explore Construction Members For Students Military/Air Join Webinars Machinery Sign In Fair Trade Contact Us Find a Producer Member Bending Anodizing 2017 Aluminum Anodizing and Extrusion Summitt Business Excellence Energy Dies & Tooling White Papers Privacy Policy Home Truck/Trailer AEC Academy Cutting/Forming Electrical Pour & Debridge Key Considerations Transportation Polyamide Strip Thermal Barrier Commercial The Role of AEC and Its Members Extrusion EPDs/LCA Applications ET Foundation more World's first carbon-free aluminum smelting process announced by Alcoa & Rio Tinto Mass Transit Finishing Painting Judging Criteria www.aec.org Process Aluminum Joining Manual Library YourMembership Design Competition Functionality Useful Links AEC Applauds U.S. Custom’s Preliminary Finding of Duty Evasion Scheme Through Malaysia Academic Resources Officers and Staff Committees, Teams and Task Forces EDU '18 FAQ Industry Promotion details Join AEC Fabrication For AEC Members About Welding/Assembly Glossary Member Login Material Comparisons Machining For Professionals AEC Meets White House Council of Economic Advisors: Tariffs will hurt economic growth in U.S. Extrusion Design Find an Extruder Academic Engagement AEC Library Design Resources Find a Member",Aluminum Extruders Council
http://www.apparelandfootwear.org/,,American Apparel and Footwear Association
http://www.aamanet.org/,Why Do We Need Multiple Social Media Platforms? Join AAMA What Do You Need to Know About Complying with the New Prop 65 Labeling Requirements? FAQs Blog My Dashboard Lake Tahoe Proves Perfect Place for Summer Conference customerservice@aamanet.org Architects & Professionals Events Store Terms Accredited Labs Read More Forgot my password Sign in News Blogs Product Directory Committees Builders & Contractors Read More > Homeowners Learn More -> Manufacturers & Members Library Member Directory Privacy Policy American Architectural Manufacturers Association Contact Us Staff,American Architectural Manufacturers Association
